round,player_id,first_equip_tick,match_number
6,65281,28025,11
6,65283,26850,11
6,65287,34350,11
7,65281,34847,11
7,65283,34793,11
7,65285,35015,11
7,65286,41787,11
7,65288,41719,11
7,65289,35064,11
8,65285,43060,11
8,65288,42711,11
8,65289,42145,11
9,65281,52685,11
9,65285,49367,11
9,65288,48461,11
9,65289,48383,11
10,65281,56238,11
10,65287,59019,11
11,65287,59741,11
11,65289,59884,11
12,65287,63338,11
12,65289,63687,11
16,65280,84221,11
17,65280,93445,11
17,65283,93739,11
17,65285,93645,11
17,65287,100441,11
18,65281,100841,11
18,65285,101800,11
18,65287,100675,11
18,65288,100755,11
18,65289,101144,11
19,65281,111058,11
19,65289,116284,11
20,65281,116710,11
20,65282,122804,11
20,65283,119132,11
20,65285,118066,11
20,65289,116432,11
21,65280,129539,11
21,65285,126149,11
22,65280,132535,11
22,65285,138358,11
23,65281,141024,11
23,65283,142391,11
23,65285,142001,11
4,65283,17916,12
4,65285,17709,12
4,65288,21916,12
5,65283,29772,12
5,65285,23314,12
5,65288,23524,12
6,65283,30606,12
6,65285,35016,12
6,65286,34719,12
6,65287,30573,12
6,65288,30691,12
7,65283,37773,12
7,65285,37634,12
7,65288,37634,12
8,65285,45235,12
8,65288,45393,12
9,65285,50427,12
9,65288,52460,12
10,65282,60181,12
10,65285,55609,12
10,65287,57769,12
10,65288,56746,12
10,65289,58435,12
11,65281,70977,12
11,65285,63979,12
11,65286,63404,12
11,65287,63216,12
11,65288,64218,12
12,65280,74367,12
12,65283,74649,12
12,65285,73488,12
12,65287,73875,12
12,65288,73760,12
12,65289,73645,12
16,65280,96649,12
16,65285,96594,12
16,65288,96563,12
17,65280,103841,12
17,65283,103209,12
18,65283,107734,12
18,65285,108990,12
18,65288,108396,12
18,65289,108039,12
19,65285,114658,12
19,65287,118550,12
19,65288,114905,12
20,65285,118851,12
20,65287,119106,12
20,65288,119260,12
20,65289,118908,12
3,65281,19709,13
3,65285,11782,13
3,65286,12297,13
4,65281,20258,13
4,65285,23693,13
5,65281,25279,13
5,65282,29427,13
5,65285,24842,13
5,65286,25170,13
5,65287,32724,13
6,65285,33884,13
6,65286,33711,13
7,65281,38095,13
7,65282,42542,13
7,65285,38290,13
7,65286,38169,13
8,65286,45113,13
8,65287,53158,13
9,65286,54503,13
9,65287,53854,13
10,65282,63087,13
10,65286,60139,13
11,65282,73989,13
11,65286,66412,13
12,65280,74599,13
12,65281,75741,13
12,65282,74501,13
15,65285,100561,13
16,65285,106265,13
17,65285,110643,13
18,65286,117519,13
19,65285,128817,13
19,65286,125666,13
20,65285,129090,13
20,65286,129484,13
20,65287,134938,13
21,65286,135392,13
22,65286,143780,13
3,65280,8903,14
3,65281,13308,14
3,65283,8645,14
3,65285,8608,14
4,65282,14382,14
4,65283,17683,14
4,65284,13804,14
5,65283,19138,14
5,65284,19307,14
6,65280,24667,14
6,65283,25382,14
6,65287,25169,14
7,65280,34154,14
7,65281,38884,14
7,65282,35327,14
7,65283,34297,14
7,65284,34640,14
7,65285,37214,14
7,65288,34266,14
8,65280,45957,14
8,65281,42352,14
8,65283,42451,14
8,65288,42873,14
9,65280,46916,14
9,65281,48010,14
9,65282,48208,14
9,65283,46965,14
10,65280,55867,14
10,65282,52833,14
10,65283,52624,14
10,65285,57362,14
10,65286,55569,14
10,65289,53538,14
11,65280,58488,14
11,65282,58733,14
11,65283,59220,14
11,65284,61345,14
11,65285,61588,14
11,65287,58763,14
11,65288,61531,14
12,65283,66520,14
12,65285,63852,14
12,65286,64804,14
12,65288,63436,14
16,65285,86637,14
16,65287,86783,14
16,65288,94390,14
17,65280,99981,14
17,65283,96022,14
17,65285,95887,14
17,65287,95022,14
17,65288,95045,14
18,65280,100244,14
18,65282,101107,14
18,65283,100377,14
3,65282,11131,15
4,65282,17010,15
5,65281,24106,15
5,65282,20634,15
6,65280,25851,15
6,65281,25749,15
7,65280,30238,15
7,65286,29777,15
8,65282,41345,15
8,65283,36514,15
8,65285,36123,15
8,65286,36303,15
9,65282,42072,15
9,65285,43964,15
9,65288,42217,15
10,65280,49122,15
10,65282,50040,15
10,65283,54715,15
10,65285,48907,15
11,65281,58081,15
11,65282,55245,15
11,65283,54939,15
11,65284,58190,15
11,65285,55233,15
12,65281,61561,15
12,65282,62031,15
12,65286,61592,15
3,65289,9689,16
4,65284,15580,16
4,65285,22351,16
4,65286,15673,16
5,65283,30535,16
5,65285,22929,16
5,65288,27783,16
5,65289,23131,16
6,65280,31687,16
6,65284,30744,16
6,65286,34315,16
6,65288,33956,16
7,65284,40289,16
7,65286,37598,16
7,65289,37395,16
8,65284,45041,16
8,65285,47011,16
8,65286,43617,16
9,65284,51416,16
9,65288,51347,16
9,65289,52290,16
10,65280,58321,16
10,65286,56962,16
10,65289,57398,16
11,65285,71367,16
11,65286,61434,16
11,65289,63253,16
12,65284,76141,16
12,65285,71972,16
12,65289,71861,16
16,65284,94352,16
16,65289,98273,16
17,65280,106604,16
17,65284,102951,16
17,65286,99885,16
17,65288,100003,16
17,65289,100494,16
18,65280,107933,16
18,65286,110393,16
18,65287,107694,16
18,65288,107771,16
18,65289,107385,16
19,65280,115015,16
19,65284,118813,16
19,65286,115485,16
19,65287,115351,16
19,65288,115454,16
19,65289,116902,16
20,65280,120716,16
20,65281,121697,16
20,65284,120117,16
20,65285,123936,16
20,65286,120736,16
21,65280,129294,16
21,65284,127467,16
21,65285,127481,16
21,65286,127452,16
22,65280,132364,16
22,65281,133828,16
22,65286,131863,16
22,65287,134950,16
