round,tick,player_id,attacker_id,blind_duration,player_x_pos,player_y_pos,player_z_pos,match_number
16,86993,65282,65280,4.072229862213135,252.64,-236.13,7.94,1
16,86993,65284,65280,0.1278988867998123,-1.62,398.14,-1.59,1
16,86993,65283,65280,0.8388038277626038,184.9,261.87,2.48,1
16,90721,65286,65285,1.9442185163497925,-531.2,2185.05,-123.56,1
16,90860,65280,65287,1.0284430980682373,-556.17,1334.03,-108.3,1
16,90860,65285,65287,1.798479080200195,-196.13,1459.99,12.61,1
17,94003,65287,65282,1.9377039670944212,1161.3,2560.37,96.3,1
17,94003,65282,65282,0.8435213565826416,397.2,1733.26,91.29,1
18,97481,65286,65280,0.8898249268531799,-419.72,2188.14,-124.43,1
18,97481,65287,65280,1.4636971950531006,-1708.88,2064.66,-6.44,1
18,97481,65282,65280,0.4158608615398407,-1665.37,769.33,30.92,1
18,97481,65285,65280,1.2683584690093994,-1596.63,2854.05,11.02,1
18,97711,65287,65282,5.058635711669922,-1956.77,2000.77,-1.42,1
18,97711,65282,65282,4.193879127502441,-1915.32,1185.64,32.0,1
18,97834,65287,65282,3.13671875,-1804.64,1965.67,-1.78,1
18,98510,65285,65283,3.2162442207336426,-2086.31,2907.19,33.6,1
19,107635,65284,65285,0.81284099817276,352.61,1603.36,3.47,1
20,109859,65280,65282,0.6708865165710449,-1855.47,1059.18,35.97,1
20,109859,65287,65282,4.471205234527588,-1673.51,2179.22,-4.09,1
20,111414,65286,65287,3.943554162979126,-1269.9,1100.3,32.03,1
21,115788,65280,65287,5.297781944274902,-309.8,985.53,-42.35,1
21,115788,65286,65287,0.6358476877212524,-497.79,1859.62,-122.66,1
21,115788,65284,65287,4.2930908203125,-121.26,451.73,-0.79,1
21,116011,65284,65285,0.8087158203125,-88.57,409.11,-1.28,1
22,124882,65285,65281,2.7846126556396484,1268.15,1221.54,0.03,1
23,131945,65280,65280,0.4723424613475799,160.15,-476.5,0.97,1
23,133481,65289,65280,4.564770698547363,-1293.48,1090.91,33.45,1
23,133481,65283,65280,2.679560899734497,-1530.76,-273.42,128.94,1
23,135749,65281,65287,1.9650970697402956,136.4,387.95,-0.87,1
24,138189,65286,65286,0.5671836137771606,1197.59,957.35,-0.24,1
24,138189,65287,65280,1.0505810976028442,-742.13,2551.08,-80.47,1
2,9474,65286,65289,2.5369038581848145,491.57,-209.65,-3.45,2
2,9474,65288,65289,0.3869219422340393,296.5,-208.74,-1.62,2
2,9474,65281,65289,0.7101073265075684,1293.6,1595.11,1.03,2
2,9478,65281,65287,0.7265825867652893,1292.14,1580.18,1.03,2
2,9523,65281,65286,1.6097644567489624,1297.52,1414.91,1.03,2
2,9699,65281,65289,3.710394382476807,1559.38,1454.46,1.03,2
2,11491,65282,65285,1.0168923139572144,-1048.03,1261.27,-101.6,2
3,15688,65287,65289,0.5740805864334106,-1651.39,852.91,31.93,2
3,16042,65286,65288,3.813874483108521,-1635.76,505.62,34.03,2
3,16042,65288,65288,0.9392420053482056,-1652.81,1002.52,30.34,2
3,16042,65287,65288,3.46545934677124,-1889.32,1220.06,31.99,2
3,16882,65284,65288,3.0616934299468994,-2153.04,2407.63,26.58,2
3,19781,65288,65284,2.420090913772583,725.5,2630.07,94.12,2
3,19781,65287,65284,1.5064834356307983,1104.9,2089.53,1.06,2
3,19909,65282,65284,3.509105443954468,303.37,1827.83,96.92,2
4,22540,65286,65288,2.6160356998443604,238.66,-451.03,-0.13,2
4,22540,65287,65288,1.5918292999267578,-203.89,-898.14,45.33,2
4,22540,65289,65288,1.3208345174789429,484.81,-76.57,0.74,2
4,22540,65284,65288,0.6627830862998962,1313.78,1507.1,1.03,2
4,22606,65286,65289,2.485423803329468,416.12,-271.2,57.82,2
4,22606,65287,65289,1.385889768600464,-32.87,-712.17,14.89,2
4,22606,65284,65289,2.818673849105835,1369.13,1322.53,-9.85,2
4,22606,65281,65289,3.135259866714477,1317.89,1965.01,1.03,2
4,22860,65284,65287,4.750030517578125,1410.53,1031.38,-7.91,2
4,22860,65284,65289,4.75002908706665,1410.53,1031.38,-7.91,2
4,22860,65281,65289,0.7410704493522644,1454.95,1411.71,-9.63,2
4,22860,65281,65287,3.714531660079956,1454.95,1411.71,-9.63,2
4,22860,65287,65287,2.7378838062286377,427.8,-235.19,-2.37,2
4,23001,65284,65287,2.546905517578125,1342.18,645.13,-46.59,2
4,23001,65281,65287,2.6293444633483887,1562.0,1498.23,1.03,2
5,27595,65286,65287,1.9559892416000368,-408.64,-961.27,104.95,2
5,27595,65280,65287,2.950714588165283,-411.28,1862.32,-127.33,2
5,27809,65282,65289,0.8141074776649475,-1820.05,1994.04,-2.06,2
5,27809,65284,65289,0.7310892939567566,-1759.78,2268.87,-0.15,2
5,29078,65286,65286,0.9630398154258728,96.6,291.44,1.3,2
5,29550,65281,65283,0.4739770889282226,1089.7,2493.4,96.06,2
5,30102,65286,65281,2.9797585010528564,370.12,1632.06,20.31,2
5,30102,65281,65281,2.814246416091919,1088.03,2477.39,96.06,2
5,31079,65281,65284,0.6108291149139404,926.63,2584.81,95.7,2
6,33325,65287,65283,2.909465789794922,733.99,-45.47,53.17,2
6,33325,65280,65283,3.2769477367401123,-418.28,1818.39,-127.08,2
6,33325,65285,65283,0.2264967858791351,556.4,190.76,39.78,2
6,33359,65286,65287,2.069808006286621,363.96,-370.04,6.35,2
6,33359,65282,65287,0.3594449162483215,1185.25,2700.97,96.31,2
6,33359,65289,65287,0.3877710103988647,335.84,-105.71,-4.47,2
6,33359,65281,65287,0.7005822062492371,1351.24,1519.26,-6.77,2
6,33382,65286,65289,2.57645583152771,363.96,-370.04,52.06,2
6,33382,65281,65289,1.5332821607589722,1396.26,1444.62,-7.94,2
6,33484,65286,65286,0.98272705078125,418.54,-151.8,-4.51,2
6,33484,65281,65286,3.565978765487671,1306.54,1328.95,1.03,2
6,33756,65282,65289,3.410224199295044,1625.26,2216.64,1.03,2
6,33756,65285,65289,1.7492812871932983,955.07,749.01,9.03,2
6,34269,65287,65285,3.6898891925811768,1369.18,1070.85,-8.41,2
6,34269,65282,65285,0.6649321913719177,1195.97,2665.32,95.94,2
6,34269,65284,65285,0.3460265398025512,-284.49,2150.77,-126.77,2
6,34269,65285,65285,0.4522912204265594,1346.18,519.22,-94.03,2
6,34893,65282,65284,0.6715120077133179,1040.1,2763.29,110.77,2
6,34893,65284,65284,1.6875505447387695,1140.22,2047.94,1.87,2
6,35127,65286,65284,4.19398307800293,1319.76,1447.0,1.03,2
6,35127,65282,65284,3.684964895248413,1179.3,2937.24,128.24,2
6,35127,65284,65284,3.345863103866577,1175.41,2050.44,1.84,2
6,35127,65285,65284,2.9663538932800293,1329.93,744.6,-14.46,2
7,41599,65286,65289,0.3804883956909179,-399.21,-1030.58,104.34,2
7,41599,65284,65289,1.3952828645706177,1361.83,1386.24,-8.35,2
7,41769,65282,65285,0.746849536895752,-1530.9,1958.7,56.71,2
7,41901,65280,65287,2.4585087299346924,-1435.3,2104.17,2.11,2
7,41901,65282,65287,1.464725375175476,-1680.59,1867.32,38.33,2
7,42071,65284,65281,0.8505848050117493,1357.29,1686.77,-6.55,2
7,42071,65281,65281,4.4334235191345215,1268.91,1581.58,1.11,2
7,43011,65289,65286,0.7294920682907104,973.82,887.58,0.44,2
7,43368,65287,65283,3.651056051254273,414.55,1786.0,103.24,2
7,43368,65285,65283,4.983364582061768,368.01,1674.13,49.82,2
7,44752,65287,65288,0.9292240738868712,984.53,2395.59,127.03,2
8,46896,65286,65287,1.747330665588379,-37.72,-644.0,64.03,2
8,46896,65284,65287,3.8152801990509033,1493.25,1382.08,-8.8,2
8,46896,65281,65287,3.531864881515503,1424.72,1604.99,-6.98,2
8,47049,65280,65285,4.766274452209473,-1729.54,2012.26,-4.18,2
8,47141,65281,65286,0.4851285517215729,1520.06,1516.94,-1.74,2
8,47366,65286,65283,0.653672993183136,-297.35,446.89,-3.35,2
8,47366,65288,65283,1.6128923892974854,245.92,-262.03,9.03,2
8,47366,65287,65283,0.6712128520011902,-199.44,487.72,-1.01,2
8,47366,65289,65283,0.80765700340271,588.92,279.95,1.33,2
8,47366,65281,65283,1.8719595670700075,1576.78,1455.64,0.75,2
8,47625,65284,65289,5.043931007385254,860.03,809.68,0.61,2
8,48555,65281,65288,2.742484331130981,1786.71,1972.68,3.59,2
9,54075,65286,65287,2.511361837387085,452.1,-251.89,-1.56,2
9,54075,65282,65287,0.3552401959896087,1204.24,2743.93,99.23,2
9,54075,65289,65287,0.939103066921234,528.06,-101.09,48.62,2
9,54075,65281,65287,0.7024058699607849,1336.07,1615.28,-4.3,2
9,54140,65281,65286,2.7934086322784424,1409.0,1439.45,-8.12,2
9,54167,65281,65289,2.768764972686768,1448.95,1392.22,-10.42,2
9,54474,65288,65288,0.5249943733215332,402.64,-81.87,-5.15,2
9,54474,65281,65288,3.570943593978882,1458.99,1378.48,-10.85,2
9,54649,65286,65288,0.4842936098575592,248.57,-361.65,0.16,2
9,54649,65288,65288,1.0022419691085815,449.95,-34.55,-4.63,2
9,54649,65281,65288,2.5256569385528564,1459.48,1377.83,-10.87,2
9,55060,65288,65281,0.6128122210502625,707.97,-393.99,8.03,2
10,57831,65288,65289,0.6563706398010254,192.38,-426.29,0.4,2
10,57831,65287,65289,0.3885369300842285,319.31,-277.78,54.37,2
10,57831,65281,65289,0.7515718340873718,1327.57,1589.06,-0.98,2
10,57924,65288,65287,2.906803131103516,422.6,-155.53,19.64,2
10,57924,65281,65287,3.688060998916626,1354.31,1420.21,-7.7,2
10,57932,65288,65285,2.864683151245117,444.11,-133.74,41.18,2
10,57932,65287,65285,0.5125781297683716,522.72,35.32,-5.05,2
10,57932,65281,65285,3.56304931640625,1378.39,1424.58,-8.08,2
10,58046,65286,65288,2.715960741043091,804.93,1005.98,0.18,2
10,58046,65288,65288,1.08343505859375,422.93,-135.94,-4.81,2
10,58046,65282,65288,0.3640724122524261,1335.83,2575.14,84.6,2
10,58046,65281,65288,3.670814514160156,1447.54,1391.69,-10.45,2
10,58176,65286,65283,0.8759575486183167,1146.99,1145.56,30.1,2
10,58176,65289,65283,1.7380493879318235,915.05,862.51,0.93,2
10,58176,65285,65283,0.8093510270118713,667.95,861.49,-0.24,2
10,58176,65281,65283,3.9734909534454346,1409.3,1412.38,-8.83,2
10,58220,65288,65288,0.9234652519226074,611.86,196.27,-0.81,2
10,58220,65281,65288,3.2860107421875,1405.22,1549.38,-6.67,2
10,58837,65280,65284,1.6586318016052246,-1232.89,2274.36,5.58,2
10,58837,65284,65284,0.8952215909957886,367.91,2268.26,-125.83,2
11,64325,65288,65288,4.5820722579956055,-461.82,-669.58,115.66,2
11,64325,65287,65288,3.379727840423584,-326.78,-545.74,0.83,2
11,64623,65286,65289,0.4350616633892059,-155.09,-743.61,34.74,2
11,64623,65288,65289,0.7555572390556335,259.72,-355.19,0.23,2
11,64824,65286,65287,1.5971311330795288,270.15,-129.47,0.38,2
11,64824,65288,65287,0.7656731009483337,155.3,282.01,1.15,2
11,64824,65287,65287,0.8351667523384094,381.87,209.66,-1.18,2
11,65337,65285,65283,0.230521097779274,489.97,1832.28,96.77,2
11,65337,65281,65283,3.0775928497314453,1311.12,1144.88,1.03,2
11,65810,65288,65285,0.6609398722648621,235.12,1478.04,0.53,2
11,65810,65282,65285,3.2724449634552,1497.02,2603.28,85.26,2
11,65810,65281,65285,3.9742891788482666,1148.52,2180.45,3.95,2
11,66541,65286,65281,3.520346164703369,488.26,1805.18,103.03,2
11,66541,65288,65281,4.488333225250244,244.22,1473.75,0.46,2
11,66541,65282,65281,3.509035110473633,981.74,2731.58,97.4,2
11,66920,65286,65284,4.227752685546875,118.81,1412.35,-0.32,2
11,66920,65288,65284,0.7990506887435913,244.22,1473.75,0.46,2
11,66920,65280,65284,0.7388567924499512,-472.54,1767.8,-123.61,2
11,66920,65284,65284,0.2661071121692657,-513.81,2044.6,-121.36,2
12,70026,65280,65282,1.3759299516677856,-1301.17,2680.53,130.03,2
12,70026,65284,65282,0.0979296043515205,-1740.48,2153.01,-3.15,2
12,70318,65286,65288,0.1656997054815292,-1768.09,1340.69,40.21,2
12,70318,65288,65288,5.010771751403809,-1705.97,938.29,34.63,2
12,70318,65287,65288,1.0460494756698608,-1688.3,1092.75,31.47,2
12,70318,65289,65288,0.9964590668678284,-1533.49,1136.84,34.93,2
12,70318,65285,65288,0.9815096855163574,-1896.62,1318.3,32.72,2
12,70343,65280,65285,0.1876121163368225,-658.46,2532.94,-80.19,2
12,70343,65284,65285,1.0487849712371826,-1985.3,1885.67,1.08,2
12,70343,65285,65285,4.347278594970703,-1944.27,1363.33,30.49,2
12,70677,65286,65287,0.6220465302467346,-2075.82,2150.31,46.47,2
12,70677,65288,65287,0.7094923853874207,-1815.24,991.61,40.31,2
12,70677,65282,65287,0.2026748955249786,273.03,1516.16,2.13,2
12,71110,65286,65281,1.81061053276062,-1765.03,2477.03,31.83,2
12,71110,65288,65281,3.322873830795288,-1964.88,1686.26,32.55,2
12,71110,65287,65281,2.5600993633270264,-1991.9,1894.48,1.09,2
12,71432,65288,65281,0.7629133462905884,-2096.82,2005.99,2.38,2
12,71432,65287,65281,0.7882876396179199,-1384.72,2527.63,4.14,2
14,78736,65288,65283,0.6441043615341187,-1303.92,2683.97,130.03,2
14,78736,65282,65283,4.114166259765625,-1992.25,1492.2,31.45,2
14,78736,65281,65283,4.325069904327393,-1942.71,1610.64,34.14,2
14,80056,65282,65285,0.2246267944574356,-856.77,2512.73,-40.97,2
14,80056,65284,65285,4.022186756134033,-1368.88,2560.05,4.58,2
14,80785,65282,65289,0.2680975198745727,-1770.97,1828.4,79.03,2
14,80785,65284,65289,0.7680818438529968,-1546.26,2807.17,8.82,2
15,82708,65286,65284,3.337010383605957,1320.83,1815.43,1.03,2
15,82708,65282,65284,0.075138434767723,-808.74,-937.75,126.93,2
15,82708,65289,65284,2.22378921508789,1378.65,1918.43,-7.25,2
15,82708,65285,65284,0.4031027257442474,1302.49,2639.0,130.0,2
15,82943,65280,65284,0.5095859169960022,28.17,-538.98,1.52,2
15,82943,65289,65284,3.232948064804077,1577.97,1329.03,0.82,2
15,82943,65284,65284,0.2746375799179077,595.82,625.49,1.13,2
15,83091,65288,65283,0.8865739107131958,-69.43,362.46,-0.88,2
15,83091,65282,65283,0.6743170619010925,-458.08,67.12,-0.17,2
15,83091,65285,65283,2.608898639678955,416.09,1931.33,131.36,2
16,88785,65286,65284,2.9626235961914062,1305.59,2051.0,1.03,2
16,88785,65289,65284,1.3830987215042114,1342.28,1751.89,-6.46,2
16,88852,65286,65280,3.055298328399658,1337.27,1803.4,-4.35,2
16,88852,65289,65280,1.409769892692566,1374.27,1518.98,-6.77,2
16,88910,65286,65283,3.0200679302215576,1316.69,1577.86,1.03,2
16,88910,65280,65283,2.820089101791382,559.58,17.53,-4.32,2
16,88910,65289,65283,1.3054654598236084,1368.54,1384.31,-8.63,2
16,88910,65285,65283,0.37546107172966,1349.41,2368.67,27.18,2
16,88910,65281,65283,1.830870270729065,447.7,-68.99,-5.27,2
16,88974,65286,65280,2.605389356613159,1309.66,1337.29,1.03,2
16,88974,65289,65280,1.5145536661148071,1407.57,1296.43,-11.12,2
16,88974,65285,65280,0.3710117936134338,1319.47,2612.23,122.6,2
16,89517,65281,65289,0.2365419715642929,266.33,-71.44,1.04,2
16,93370,65286,65281,2.0008559226989746,-1840.8,2303.69,3.52,2
17,96333,65286,65280,3.835971117019653,1370.7,1318.46,-10.03,2
17,96333,65289,65280,2.530373334884644,1454.54,1443.83,-8.57,2
17,96369,65286,65283,3.2734375,1317.82,1217.31,1.03,2
17,96369,65280,65283,2.841191530227661,158.87,-238.48,9.03,2
17,96369,65289,65283,2.4410550594329834,1453.59,1360.57,-11.45,2
17,96369,65281,65283,2.961874485015869,232.77,-213.13,9.03,2
17,97063,65284,65289,0.7688702344894409,-515.46,952.76,-35.98,2
17,97063,65287,65289,1.9635509252548216,-550.15,2188.34,-123.13,2
17,97063,65280,65289,1.3671278953552246,513.02,133.35,-4.55,2
17,97063,65281,65289,0.8294550180435181,-472.46,692.12,0.0,2
17,97305,65280,65289,4.729691505432129,695.97,318.6,0.77,2
17,97305,65289,65289,4.663669109344482,787.27,970.49,0.06,2
17,98469,65284,65288,2.097223281860352,-368.77,2011.47,-127.15,2
18,105901,65280,65287,0.7371847033500671,-1828.08,1150.41,32.61,2
18,106014,65287,65280,4.602951526641846,-1521.09,2241.24,-0.77,2
18,106014,65280,65280,0.5213345885276794,-1954.91,1501.85,35.01,2
18,106349,65284,65284,0.3305835127830505,-1780.5,1112.24,33.29,2
18,106349,65282,65284,0.9899423122406006,-1964.81,1395.77,30.02,2
18,106380,65280,65281,0.7696008086204529,-1619.8,2389.85,0.75,2
18,106380,65282,65281,3.003632068634033,-1992.98,1510.92,31.59,2
18,107316,65286,65286,1.8267086744308472,-971.24,2183.79,-57.51,2
18,107520,65286,65286,4.280329704284668,-956.64,2188.53,-63.52,2
18,107520,65280,65286,2.1024844646453857,-1239.16,2685.01,120.0,2
18,107520,65281,65286,0.7910169959068298,-1955.78,2560.81,28.44,2
18,108621,65281,65289,1.7906466722488403,-1773.01,1951.41,-3.47,2
18,108740,65289,65281,0.9630587697029114,-1914.91,1293.62,31.06,2
2,6601,65281,65287,0.9852321743965148,-1553.13,2551.52,2.81,3
2,6601,65288,65287,2.1882615089416504,-1946.95,2427.18,17.62,3
2,6601,65289,65287,2.0973219871521,-2043.76,2384.13,10.23,3
2,6601,65285,65287,1.19441556930542,-1884.03,1858.9,5.55,3
2,7658,65281,65287,4.122327327728272,-1715.55,2090.04,-6.06,3
2,7658,65284,65287,2.429007768630981,-1270.32,2642.73,130.03,3
2,7658,65280,65287,4.186494827270508,-1467.46,2094.74,1.24,3
2,7768,65281,65286,2.4035797119140625,-1777.9,2058.33,-4.4,3
2,7768,65287,65286,2.595081090927124,-2031.97,2922.59,33.01,3
2,7768,65286,65286,0.1456707715988159,-2025.97,1516.22,33.91,3
2,7768,65280,65286,3.591336250305176,-1698.56,1999.23,-5.54,3
3,12795,65282,65286,0.283701092004776,1381.98,2745.58,106.39,3
3,12795,65289,65286,2.388447999954224,58.47,-580.4,30.63,3
3,12795,65280,65286,0.2417009472846985,1300.6,2735.43,113.81,3
3,13092,65283,65287,3.954867601394653,-685.36,2423.62,-95.12,3
3,13092,65284,65287,3.892104625701904,-648.32,2469.6,-83.64,3
3,13331,65287,65287,0.8108172416687012,-157.93,1239.02,0.14,3
3,14669,65289,65280,5.130231380462647,401.04,1644.68,29.17,3
3,14669,65280,65280,1.3533554077148438,725.46,2763.97,170.11,3
3,15846,65289,65289,0.1333246678113937,465.9,1827.16,98.21,3
3,15846,65281,65289,3.1321983337402344,1049.96,2411.69,127.17,3
3,15846,65284,65289,2.355604648590088,-694.6,2336.6,-111.0,3
3,15846,65282,65289,2.3425827026367188,1331.88,2884.26,127.46,3
4,21785,65289,65280,0.6402682662010193,-521.96,1025.64,-55.15,3
5,29304,65282,65286,4.485274314880371,-418.54,2355.67,-106.04,3
5,32822,65289,65289,0.7703078985214233,1305.36,2480.86,67.26,3
5,33339,65289,65289,0.1310846507549286,1366.51,2383.68,28.02,3
6,37526,65280,65287,0.4122821390628814,555.75,2388.59,127.03,3
6,38200,65287,65280,4.9771246910095215,1507.58,1136.41,-6.73,3
6,38200,65288,65280,4.61065149307251,1232.6,1114.31,-0.44,3
6,38200,65289,65280,2.0561156272888184,1472.23,1367.19,-10.68,3
6,38200,65285,65280,0.8743476867675781,1254.29,1771.97,2.85,3
6,38209,65282,65285,1.907781004905701,-723.37,2191.59,-117.28,3
6,38209,65283,65285,1.463796615600586,1744.57,2070.38,2.98,3
6,38209,65287,65285,4.83648681640625,1507.58,1136.41,-6.73,3
6,38209,65289,65285,1.91546630859375,1490.54,1359.67,-9.15,3
6,38209,65285,65285,0.73370361328125,1254.29,1771.97,2.85,3
6,39764,65281,65285,3.5142030715942383,443.66,1812.4,102.36,3
6,39764,65285,65285,3.568748712539673,1170.96,2488.33,95.53,3
6,40210,65284,65288,2.8181138038635254,-543.17,2077.87,-119.52,3
6,40210,65287,65288,1.284479737281799,1708.15,2184.21,2.2,3
6,41246,65284,65285,0.9288726449012756,408.36,1834.23,96.22,3
6,41246,65285,65285,0.6686313152313232,278.26,2191.74,98.74,3
6,41719,65287,65284,3.0595366954803467,1770.32,2071.64,3.59,3
7,45577,65280,65280,3.686357259750366,420.39,2284.25,95.8,3
7,46333,65287,65288,0.9677425026893616,-337.09,1381.65,-27.94,3
7,46333,65288,65288,4.48330020904541,-518.17,1382.03,-110.97,3
7,46333,65286,65288,4.926244258880615,-276.3,1404.13,-27.97,3
7,46536,65287,65280,4.971724510192871,-124.68,1516.97,0.68,3
7,46536,65288,65280,1.3114013671875,-443.27,944.65,-38.03,3
8,52737,65283,65286,4.397112846374512,-584.53,2395.06,-100.39,3
9,58221,65281,65286,1.18214750289917,1385.07,1550.73,-6.54,3
9,58221,65282,65286,0.2226084321737289,1332.4,2877.03,127.0,3
9,58221,65288,65286,0.4719135761260986,302.28,-324.39,0.81,3
9,58221,65280,65286,0.1809268295764923,1273.66,2761.77,147.85,3
9,58259,65281,65289,3.3824713230133057,1396.69,1406.0,-8.67,3
9,58259,65288,65289,1.3987019062042236,369.05,-244.34,-1.46,3
9,58259,65289,65289,0.4903872311115265,437.07,-159.79,-4.36,3
9,59309,65287,65280,3.358606100082397,-142.03,410.23,-1.32,3
9,59309,65288,65280,3.454475164413452,-119.83,468.01,-0.57,3
9,59309,65289,65280,3.702712774276733,-527.42,620.75,9.03,3
9,59309,65285,65280,3.92533540725708,-149.03,730.64,2.18,3
9,59309,65286,65280,0.9818037152290344,-467.71,1397.13,-122.05,3
9,60746,65282,65288,3.638495445251465,1179.72,2593.92,96.51,3
9,60746,65288,65288,4.460842609405518,361.52,1683.7,53.64,3
9,60746,65286,65288,4.203115940093994,362.92,1542.0,2.65,3
9,60904,65282,65288,3.7894325256347656,1102.42,2574.0,96.24,3
9,60904,65287,65288,0.4097806215286255,271.29,1505.0,1.65,3
9,60904,65288,65288,3.543292284011841,403.98,1534.14,2.12,3
